Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
D,0.280,0.321,0.323,0.198,0.071,0,1,1
D,0.292,0.307,0.296,0.160,0.092,0,1,1
D,0.282,0.309,0.322,0.182,0.098,0,1,1
D,0.288,0.310,0.299,0.188,0.070,0,1,1
D,0.309,0.318,0.282,0.165,0.099,0,1,1
D,0.322,0.328,0.308,0.172,0.073,0,1,1
D,0.285,0.301,0.291,0.193,0.077,0,1,1
D,0.288,0.328,0.307,0.178,0.090,0,1,1
D,0.278,0.311,0.283,0.193,0.099,0,1,1
D,0.301,0.310,0.309,0.164,0.095,0,1,1
D,0.297,0.326,0.309,0.197,0.089,0,1,1
D,0.286,0.315,0.301,0.204,0.085,0,1,1
D,0.297,0.322,0.297,0.173,0.101,0,1,1
D,0.274,0.318,0.318,0.184,0.095,0,1,1
D,0.289,0.330,0.299,0.175,0.088,0,1,1
D,0.284,0.308,0.322,0.163,0.080,0,1,1
D,0.273,0.318,0.304,0.192,0.101,0,1,1
D,0.294,0.320,0.319,0.185,0.093,0,1,1
D,0.288,0.334,0.324,0.176,0.091,0,1,1
D,0.285,0.326,0.301,0.172,0.077,0,1,1
D,0.303,0.319,0.322,0.204,0.090,0,1,1
D,0.299,0.315,0.335,0.168,0.106,0,1,1
D,0.295,0.307,0.298,0.176,0.082,0,1,1
D,0.271,0.318,0.307,0.193,0.085,0,1,1
D,0.283,0.348,0.298,0.165,0.078,0,1,1
D,0.278,0.338,0.310,0.185,0.077,0,1,1
D,0.426,0.327,0.464,0.159,0.091,0,1,1
D,0.406,0.322,0.477,0.164,0.090,0,1,1
D,0.318,0.315,0.560,0.240,0.146,0,1,1
D,0.349,0.315,0.569,0.237,0.143,0,1,1
D,0.383,0.332,0.589,0.245,0.142,0,1,1
D,0.374,0.331,0.578,0.242,0.159,0,1,1
D,0.396,0.338,0.588,0.236,0.142,0,1,1
D,0.392,0.329,0.593,0.245,0.155,0,1,1
D,0.386,0.340,0.556,0.245,0.133,0,1,1
D,0.384,0.309,0.592,0.232,0.147,0,1,1
D,0.385,0.326,0.572,0.223,0.157,0,1,1
D,0.400,0.344,0.584,0.245,0.162,0,1,1
E,0.094,0.091,0.163,0.163,0.086,0,1,1
E,0.093,0.081,0.179,0.196,0.082,0,1,1
E,0.089,0.085,0.125,0.147,0.071,1,1,1
E,0.091,0.073,0.127,0.147,0.077,1,1,1
E,0.093,0.101,0.129,0.175,0.085,1,1,1
E,0.103,0.089,0.167,0.165,0.080,1,1,1
E,0.090,0.081,0.172,0.168,0.085,1,1,1
E,0.103,0.090,0.120,0.155,0.073,1,1,1
E,0.092,0.102,0.124,0.153,0.069,1,1,1
E,0.099,0.103,0.154,0.201,0.073,1,1,1
E,0.090,0.103,0.118,0.090,0.068,1,1,1
E,0.076,0.103,0.222,0.168,0.066,1,1,1
E,0.107,0.095,0.149,0.172,0.067,1,1,1
E,0.098,0.081,0.176,0.168,0.073,1,1,1
E,0.117,0.067,0.201,0.172,0.089,1,1,1
E,0.096,0.088,0.194,0.130,0.064,1,1,1
E,0.118,0.102,0.191,0.173,0.068,1,1,1
E,0.112,0.091,0.169,0.176,0.084,1,1,1
E,0.112,0.070,0.161,0.143,0.076,1,1,1
E,0.104,0.085,0.181,0.164,0.061,1,1,1
E,0.108,0.082,0.143,0.219,0.064,1,1,1
E,0.116,0.068,0.164,0.195,0.090,1,1,1
E,0.124,0.096,0.170,0.205,0.080,1,1,1
E,0.118,0.104,0.172,0.189,0.068,1,1,1
E,0.118,0.103,0.168,0.215,0.090,1,1,1
E,0.131,0.083,0.183,0.193,0.090,1,1,1
E,0.111,0.089,0.221,0.141,0.064,1,1,1
E,0.129,0.078,0.204,0.155,0.073,1,1,1
E,0.119,0.064,0.194,0.236,0.081,1,1,1
E,0.105,0.079,0.168,0.176,0.069,1,1,1
E,0.102,0.103,0.160,0.226,0.089,1,1,1
E,0.116,0.091,0.233,0.140,0.074,1,1,1
E,0.122,0.103,0.154,0.078,0.088,1,1,1
E,0.124,0.091,0.203,0.141,0.088,1,1,1
E,0.087,0.098,0.217,0.142,0.078,1,1,1
E,0.104,0.089,0.260,0.150,0.072,1,1,1
E,0.107,0.104,0.214,0.152,0.066,1,1,1
E,0.122,0.103,0.193,0.179,0.093,1,1,1
E,0.124,0.103,0.219,0.131,0.098,1,1,1
E,0.116,0.110,0.214,0.149,0.093,1,1,1
E,0.131,0.116,0.171,0.166,0.077,1,1,1
E,0.090,0.114,0.176,0.170,0.064,1,1,1
E,0.082,0.092,0.189,0.134,0.064,1,1,1
E,0.110,0.112,0.175,0.159,0.082,1,1,1
E,0.106,0.093,0.193,0.165,0.066,1,1,1
E,0.113,0.100,0.168,0.165,0.067,1,1,1
E,0.095,0.103,0.190,0.142,0.052,1,1,1
E,0.116,0.098,0.206,0.181,0.071,1,1,1
E,0.114,0.116,0.180,0.156,0.073,1,1,1
F,0.477,0.249,0.492,0.470,0.351,1,0,1
F,0.450,0.219,0.486,0.449,0.352,1,0,1
F,0.464,0.206,0.508,0.435,0.330,1,0,1
F,0.473,0.211,0.478,0.444,0.354,1,0,1
F,0.477,0.256,0.504,0.477,0.362,1,0,1
F,0.431,0.222,0.472,0.464,0.352,1,0,1
F,0.256,0.212,0.469,0.459,0.368,1,0,1
